id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
62,1.0,0.2,0.75,2.3000000000000003,0.7,2.617612656010131,-0.3047722946520932,-1.3128403613580375,0.9997204959602864,0.05282842213710209
63,1.0,0.2,0.75,2.3000000000000003,0.8,2.717659681100419,-0.3711864079646086,-1.3464732731358102,0.9997490929994147,0.0562865683412664
64,1.0,0.2,0.75,2.3000000000000003,0.9,2.6940023991367315,-0.4846631110053062,-1.2093392881314253,0.9997474732995251,0.05723806940326442
65,1.0,0.2,0.75,2.3000000000000003,1.0,2.6756338368155275,-0.4713742228635481,-1.2042596139519797,0.999768520947545,0.05837536311133007
66,1.0,0.2,0.75,2.4000000000000004,0.6,2.371341727774388,-0.16260800992812327,-1.2087337178462645,0.9996733514328465,0.05589651373960952
67,1.0,0.2,0.75,2.4000000000000004,0.7,2.4692747747111086,-0.36769201061385665,-1.101582764097252,0.999640828756542,0.05972296030255096
68,1.0,0.2,0.75,2.4000000000000004,0.8,2.7041752647960378,-0.3767231700842663,-1.3274520947117714,0.9997345322885797,0.06450152169883942
69,1.0,0.2,0.75,2.4000000000000004,0.9,2.7762275683889106,-0.4927228747928471,-1.2835046935960637,0.9997498354712625,0.06271259521581063
70,1.0,0.2,0.75,2.4000000000000004,1.0,2.792848106691157,-0.4504530124203243,-1.342395094270833,0.9997686529115681,0.062058866833299794
71,1.0,0.2,0.75,2.5,0.6,2.4672030455072007,-0.11057114629363606,-1.3566318992135644,0.9997815732371825,0.05894973125663134
72,1.0,0.2,0.75,2.5,0.7,2.2475006504651303,-0.1723669932552173,-1.0751336572099128,0.9997764129906402,0.05741090291380951
74,1.0,0.2,0.75,2.5,0.9,2.6825657639790372,-0.3766935149700538,-1.3058722490089834,0.9998148942358053,0.05804810591064136
75,1.0,0.2,0.75,2.5,1.0,2.7630947053047072,-0.5081850602391206,-1.2549096450655866,0.999823777226669,0.06027781975731236
76,1.1,0.0,0.75,2.1,0.6,2.686996414615949,-0.3228014811036846,-1.364194933512264,0.9997286624900776,0.03989417124287095
77,1.1,0.0,0.75,2.1,0.7,2.8555713398811595,-0.5602655712805708,-1.2953057686005889,0.9997152920200226,0.04225896805585472
78,1.1,0.0,0.75,2.1,0.8,3.0286462114506736,-0.5208631974022743,-1.5077830140483994,0.9997659559981978,0.043049096505190294
79,1.1,0.0,0.75,2.1,0.9,2.7876676207642697,-0.6028387590688482,-1.1848288616954215,0.9997520149262947,0.04371789490484738
80,1.1,0.0,0.75,2.1,1.0,2.8104976466437908,-0.5428983810379905,-1.2675992656058002,0.9997768139384704,0.043703753257168944
81,1.1,0.0,0.75,2.2,0.6,2.782904060998993,-0.34237481033438827,-1.4405292506646046,0.999716339531205,0.040704973249152544
82,1.1,0.0,0.75,2.2,0.7,2.6654603996046897,-0.48434211696043183,-1.1811182826442579,0.9996949694830077,0.038678027175034345
83,1.1,0.0,0.75,2.2,0.8,3.0969333909384753,-0.5870140278688847,-1.5099193630695906,0.9997498123613167,0.04246708936922654
84,1.1,0.0,0.75,2.2,0.9,2.827355428737836,-0.5619755495292325,-1.2653798792086035,0.9997476761953412,0.04295676046037731
85,1.1,0.0,0.75,2.2,1.0,2.77030134733712,-0.5970787735037475,-1.1732225738333721,0.9997628383122478,0.044581944399318896
86,1.1,0.0,0.75,2.3000000000000003,0.6,2.707326629118331,-0.4280152205619625,-1.2793114085563686,0.9996024366950533,0.043297924267231
87,1.1,0.0,0.75,2.3000000000000003,0.7,2.7602313141238652,-0.42357254793369015,-1.336658766190175,0.9997149521080145,0.041403931897428956
88,1.1,0.0,0.75,2.3000000000000003,0.8,2.721994336980921,-0.4606999391161304,-1.2612943978647908,0.999731910929711,0.04264718135566519
89,1.1,0.0,0.75,2.3000000000000003,0.9,2.7436839034432117,-0.43250991545441914,-1.3111739879887925,0.9997582280074141,0.04123317520900972
90,1.1,0.0,0.75,2.3000000000000003,1.0,2.7792476756989295,-0.5169692781801601,-1.2622783975187695,0.999766510282586,0.042402531782760974
91,1.1,0.0,0.75,2.4000000000000004,0.6,2.65907711070413,-0.31290321024975865,-1.3461739004543716,0.9996806468690816,0.03915444666598331
